trail_name, distance, state, surface
Al Tahoe Bike Trail,1.1 mi,State: CA,Asphalt
Alameda Creek Regional Trail,22.1 mi,State: CA,Asphalt, Crushed Stone
Alamo Creek Bikeway,4.4 mi,State: CA,Asphalt
Albertson Parkway,0.5 mi,State: CA,Asphalt
Aliso Creek Riding and Hiking Trail,18.4 mi,State: CA,Asphalt, Sand
Almanor Rail Trail,13 mi,State: CA,Ballast, Dirt, Gravel
Alton Avenue Bike Trail,1.8 mi,State: CA,Asphalt
American River Bike Trail (Jedediah Smith Memorial Trail),32 mi,State: CA,Asphalt
Aquatic Park Trail,2 mi,State: CA,Asphalt
Arcata City Trail,1.5 mi,State: CA,Asphalt
Arroyo Mocho Trail,12.9 mi,State: CA,Asphalt
Arroyo Seco Bike Path,2.1 mi,State: CA,Concrete
Atascadero Creek Trail (Obern Trail),3.5 mi,State: CA,Asphalt
Baine Avenue Trail,0.75 mi,State: CA,Dirt, Gravel
Ballona Creek Bike Path,7 mi,State: CA,Asphalt, Concrete
Bannon Creek Parkway,1.3 mi,State: CA,Asphalt, Concrete
Baquiano Trail,0.97 mi,State: CA,Dirt
Barberry Walkway,0.5 mi,State: CA,Concrete
Bay Area Ridge Trail (San Francisco Presidio),2.5 mi,State: CA,Asphalt, Dirt
Bayshore Bikeway,17.1 mi,State: CA,Asphalt, Concrete
Beach Range Road Multi-Use Trail,4 mi,State: CA,Asphalt
Bear Creek Bikeway,3.6 mi,State: CA,Asphalt
Bellflower Bike Trail,2.7 mi,State: CA,Asphalt
Black Rascal Creek Bikeway,4.5 mi,State: CA,Asphalt, Concrete
Blue Gravel Mine Trail ,1.75 mi,State: CA,Asphalt
Bob Jones City to the Sea Trail,3 mi,State: CA,Asphalt, Concrete
Bol Park Path,1.25 mi,State: CA,Asphalt
Bon Air Road Sidepath,1.03 mi,State: CA,Asphalt
Bonita Canyon Trail,3.2 mi,State: CA,Concrete
Bouquet Canyon Trail,3.6 mi,State: CA,Asphalt, Concrete
Browns Creek Bike Path,1.4 mi,State: CA,Asphalt
Browns Valley Road Trail,1.5 mi,State: CA,Asphalt, Concrete
Brush Creek Trail,2.2 mi,State: CA,Asphalt
Cal Park Hill Tunnel,1.1 mi,State: CA,Asphalt, Concrete
Calaveras River Bike Path,6.71 mi,State: CA,Asphalt
Calero Creek Trail,1.9 mi,State: CA,Asphalt, Dirt
Calleguas Creek Bike Path,3 mi,State: CA,Asphalt
Castaways Trail,1.02 mi,State: CA,Asphalt
Centennial Way Trail,2.85 mi,State: CA,Asphalt
Chandler Bikeway,2.8 mi,State: CA,Concrete
Charles F. McGlashan Pathway,0.6 mi,State: CA,Asphalt, Boardwalk
Chico Airport Bike Path,3.25 mi,State: CA,Asphalt
Chico State Bike Path,2 mi,State: CA,Asphalt
Chuck Pontius Commuter Trail,5.5 mi,State: CA,Asphalt
Cloister Walk,2.3 mi,State: CA,Asphalt, Concrete
Clover Creek Preserve Trail,2 mi,State: CA,Asphalt
Clovis Old Town Trail,5.8 mi,State: CA,Asphalt
Coastal Rail Trail,3.4 mi,State: CA,Asphalt, Concrete
College Connector Path,0.7 mi,State: CA,Asphalt
Colton Rail-Trail,1.9 mi,State: CA,Concrete
Compton Creek Bike Path,5.1 mi,State: CA,Asphalt
Contra Costa Canal Trail,13.8 mi,State: CA,Asphalt
Corte Madera Creek Path,3.52 mi,State: CA,Asphalt, Boardwalk
